Province,Riding English,Riding French,Candidate English,Candidate French,Party,Votes,Elected
British Columbia,Port Moody--Westwood--Port Coquitlam,Port Moody--Westwood--Port Coquitlam,Rob Gillespie,Rob Gillespie,Libertarian Party of Canada,321,
British Columbia,Port Moody--Westwood--Port Coquitlam,Port Moody--Westwood--Port Coquitlam,Ron McKinnon,Ron McKinnon,Liberal Party of Canada,6918,
British Columbia,Port Moody--Westwood--Port Coquitlam,Port Moody--Westwood--Port Coquitlam,James Moore,James Moore,Conservative Party of Canada,25535,
British Columbia,Port Moody--Westwood--Port Coquitlam,Port Moody--Westwood--Port Coquitlam,Zoë Royer,Zoë Royer,New Democratic Party,10418,
British Columbia,Prince George--Peace River,Prince George--Peace River,Betty Bekkering,Betty Bekkering,New Democratic Party,6170,
British Columbia,Prince George--Peace River,Prince George--Peace River,Hilary Crowley,Hilary Crowley,Green Party of Canada,3656,
British Columbia,Prince George--Peace River,Prince George--Peace River,Lindsay Gidney,Lindsay Gidney,Liberal Party of Canada,2954,
British Columbia,Prince George--Peace River,Prince George--Peace River,Jay Hill,Jay Hill,Conservative Party of Canada,22325,
British Columbia,Richmond,Richmond,Raymond Chan,Raymond Chan,Liberal Party of Canada,13221,
British Columbia,Richmond,Richmond,Wei Ping Chen,Wei Ping Chen,Independent,395,
British Columbia,Richmond,Richmond,Dale Jackaman,Dale Jackaman,New Democratic Party,5059,
British Columbia,Richmond,Richmond,Dobie Yiu-Chung To,Dobie Yiu-Chung To,Independent,91,
British Columbia,Richmond,Richmond,Michael Anthony Wolfe,Michael Anthony Wolfe,Green Party of Canada,2753,
British Columbia,Richmond,Richmond,Alice Wong,Alice Wong,Conservative Party of Canada,21359,
British Columbia,Saanich--Gulf Islands,Saanich--Gulf Islands,Jeremy Arney,Jeremy Arney,Canadian Action Party,139,
British Columbia,Saanich--Gulf Islands,Saanich--Gulf Islands,Dale P. Leier,Dale P. Leier,Libertarian Party of Canada,246,
British Columbia,Saanich--Gulf Islands,Saanich--Gulf Islands,Andrew Lewis,Andrew Lewis,Green Party of Canada,6742,
British Columbia,Saanich--Gulf Islands,Saanich--Gulf Islands,Gary Lunn,Gary Lunn,Conservative Party of Canada,27991,
British Columbia,Saanich--Gulf Islands,Saanich--Gulf Islands,Dan Moreau,Dan Moreau,Christian Heritage Party of Canada,114,
British Columbia,Saanich--Gulf Islands,Saanich--Gulf Islands,Patricia O'Brien,Patricia O'Brien,Western Block Party,195,
British Columbia,Saanich--Gulf Islands,Saanich--Gulf Islands,Briony Penn,Briony Penn,Liberal Party of Canada,25366,
British Columbia,Saanich--Gulf Islands,Saanich--Gulf Islands,Julian West,Julian West,New Democratic Party,3667,
British Columbia,Skeena--Bulkley Valley,Skeena--Bulkley Valley,Hondo Arendt,Hondo Arendt,Green Party of Canada,1613,
British Columbia,Skeena--Bulkley Valley,Skeena--Bulkley Valley,Nathan Cullen,Nathan Cullen,New Democratic Party,17219,
British Columbia,Skeena--Bulkley Valley,Skeena--Bulkley Valley,Mary-Etta Goodacre,Mary-Etta Goodacre,Canadian Action Party,112,
British Columbia,Skeena--Bulkley Valley,Skeena--Bulkley Valley,Corinna Morhart,Corinna Morhart,Liberal Party of Canada,1916,
British Columbia,Skeena--Bulkley Valley,Skeena--Bulkley Valley,Sharon Smith,Sharon Smith,Conservative Party of Canada,12561,
British Columbia,Skeena--Bulkley Valley,Skeena--Bulkley Valley,Rod Taylor,Rod Taylor,Christian Heritage Party of Canada,1125,
British Columbia,British Columbia Southern Interior,Colombie-Britannique-Southern Interior,Alex Atamanenko,Alex Atamanenko,New Democratic Party,22693,
British Columbia,British Columbia Southern Interior,Colombie-Britannique-Southern Interior,Brenda Jagpal,Brenda Jagpal,Liberal Party of Canada,3292,
British Columbia,British Columbia Southern Interior,Colombie-Britannique-Southern Interior,Andy Morel,Andy Morel,Green Party of Canada,4573,
British Columbia,British Columbia Southern Interior,Colombie-Britannique-Southern Interior,Brian Sproule,Brian Sproule,Marxist-Leninist Party of Canada,80,
British Columbia,British Columbia Southern Interior,Colombie-Britannique-Southern Interior,Rob Zandee,Rob Zandee,Conservative Party of Canada,17122,
British Columbia,South Surrey--White Rock--Cloverdale,Surrey-Sud--White Rock--Cloverdale,David Blair,David Blair,Green Party of Canada,4951,
British Columbia,South Surrey--White Rock--Cloverdale,Surrey-Sud--White Rock--Cloverdale,Russ Hiebert,Russ Hiebert,Conservative Party of Canada,31216,
British Columbia,South Surrey--White Rock--Cloverdale,Surrey-Sud--White Rock--Cloverdale,Judy Higginbotham,Judy Higginbotham,Liberal Party of Canada,11515,
British Columbia,South Surrey--White Rock--Cloverdale,Surrey-Sud--White Rock--Cloverdale,Brian Marlatt,Brian Marlatt,Progressive Canadian Party,273,
British Columbia,South Surrey--White Rock--Cloverdale,Surrey-Sud--White Rock--Cloverdale,Peter Prontzos,Peter Prontzos,New Democratic Party,7146,
British Columbia,Surrey North,Surrey-Nord,Rachid Arab,Rachid Arab,New Democratic Party,12608,
British Columbia,Surrey North,Surrey-Nord,Dona Cadman,Dona Cadman,Conservative Party of Canada,13714,
British Columbia,Surrey North,Surrey-Nord,Psam Frank,Psam Frank,Canadian Action Party,105,
British Columbia,Surrey North,Surrey-Nord,Alex Joehl,Alex Joehl,Libertarian Party of Canada,347,
British Columbia,Surrey North,Surrey-Nord,Dan Kashagama,Dan Kashagama,Green Party of Canada,1925,
British Columbia,Surrey North,Surrey-Nord,Bernadette Keenan,Bernadette Keenan,Independent,271,
British Columbia,Surrey North,Surrey-Nord,Nikolas Langlands,Nikolas Langlands,Progressive Canadian Party,152,
British Columbia,Surrey North,Surrey-Nord,Marc Muhammad,Marc Muhammad,Liberal Party of Canada,5227,
British Columbia,Surrey North,Surrey-Nord,Kevin Pielak,Kevin Pielak,Christian Heritage Party of Canada,484,
British Columbia,Vancouver Centre,Vancouver-Centre,Michael Byers,Michael Byers,New Democratic Party,12047,
British Columbia,Vancouver Centre,Vancouver-Centre,Adriane Carr,Adriane Carr,Green Party of Canada,10354,
British Columbia,Vancouver Centre,Vancouver-Centre,John Clarke,John Clarke,Libertarian Party of Canada,340,
British Columbia,Vancouver Centre,Vancouver-Centre,Hedy Fry,Hedy Fry,Liberal Party of Canada,19506,
British Columbia,Vancouver Centre,Vancouver-Centre,Michael Hill,Michael Hill,Marxist-Leninist Party of Canada,94,
British Columbia,Vancouver Centre,Vancouver-Centre,Lorne Mayencourt,Lorne Mayencourt,Conservative Party of Canada,14188,
British Columbia,Vancouver East,Vancouver-Est,Mike Carr,Mike Carr,Green Party of Canada,4708,
British Columbia,Vancouver East,Vancouver-Est,Libby Davies,Libby Davies,New Democratic Party,22506,
British Columbia,Vancouver East,Vancouver-Est,Anne Jamieson,Anne Jamieson,Marxist-Leninist Party of Canada,171,
British Columbia,Vancouver East,Vancouver-Est,Betty Krawczyk,Betty Krawczyk,Work Less Party,425,
British Columbia,Vancouver East,Vancouver-Est,Ken Low,Ken Low,Liberal Party of Canada,7127,
British Columbia,Vancouver East,Vancouver-Est,Ryan Warawa,Ryan Warawa,Conservative Party of Canada,6432,
British Columbia,Vancouver Island North,Île de Vancouver-Nord,Catherine Bell,Catherine Bell,New Democratic Party,23466,
British Columbia,Vancouver Island North,Île de Vancouver-Nord,Jason Draper,Jason Draper,Independent,362,
British Columbia,Vancouver Island North,Île de Vancouver-Nord,John Duncan,John Duncan,Conservative Party of Canada,25963,
British Columbia,Vancouver Island North,Île de Vancouver-Nord,Geoff Fleischer,Geoff Fleischer,Liberal Party of Canada,2380,
British Columbia,Vancouver Island North,Île de Vancouver-Nord,Philip Stone,Philip Stone,Green Party of Canada,4544,
British Columbia,Vancouver Kingsway,Vancouver Kingsway,Kimball Cariou,Kimball Cariou,Communist Party of Canada,291,
British Columbia,Vancouver Kingsway,Vancouver Kingsway,Don Davies,Don Davies,New Democratic Party,15933,
British Columbia,Vancouver Kingsway,Vancouver Kingsway,Matt Kadioglu,Matt Kadioglu,Libertarian Party of Canada,309,
British Columbia,Vancouver Kingsway,Vancouver Kingsway,Donna Petersen,Donna Petersen,Marxist-Leninist Party of Canada,149,
British Columbia,Vancouver Kingsway,Vancouver Kingsway,Salomon Rayek,Salomon Rayek,Conservative Party of Canada,12419,
British Columbia,Vancouver Kingsway,Vancouver Kingsway,Doug Warkentin,Doug Warkentin,Green Party of Canada,3031,
British Columbia,Vancouver Kingsway,Vancouver Kingsway,Wendy Yuan,Wendy Yuan,Liberal Party of Canada,13164,
British Columbia,Vancouver Quadra,Vancouver Quadra,Norris Barens,Norris Barens,Libertarian Party of Canada,333,
British Columbia,Vancouver Quadra,Vancouver Quadra,David Caplan,David Caplan,New Democratic Party,4493,
British Columbia,Vancouver Quadra,Vancouver Quadra,Dan Grice,Dan Grice,Green Party of Canada,4916,
British Columbia,Vancouver Quadra,Vancouver Quadra,Deborah Meredith,Deborah Meredith,Conservative Party of Canada,20561,
British Columbia,Vancouver Quadra,Vancouver Quadra,Joyce Murray,Joyce Murray,Liberal Party of Canada,25393,
British Columbia,Vancouver South,Vancouver-Sud,Charles Boylan,Charles Boylan,Marxist-Leninist Party of Canada,213,
British Columbia,Vancouver South,Vancouver-Sud,Ann Chambers,Ann Chambers,New Democratic Party,7382,
British Columbia,Vancouver South,Vancouver-Sud,Ujjal Dosanjh,Ujjal Dosanjh,Liberal Party of Canada,16109,
British Columbia,Vancouver South,Vancouver-Sud,Csaba Gulyas,Csaba Gulyas,Green Party of Canada,2068,
British Columbia,Vancouver South,Vancouver-Sud,Wai Young,Wai Young,Conservative Party of Canada,16087,
British Columbia,Victoria,Victoria,John Cooper,John Cooper,Christian Heritage Party of Canada,237,
British Columbia,Victoria,Victoria,Jack McClintock,Jack McClintock,Conservative Party of Canada,16337,
British Columbia,Victoria,Victoria,Anne Park Shannon,Anne Park Shannon,Liberal Party of Canada,10006,
British Columbia,Victoria,Victoria,Adam Saab,Adam Saab,Green Party of Canada,6252,
British Columbia,Victoria,Victoria,Denise Savoie,Denise Savoie,New Democratic Party,26443,
British Columbia,West Vancouver--Sunshine Coast--Sea to Sky Country,West Vancouver--Sunshine Coast--Sea to Sky Country,Bill Forst,Bill Forst,New Democratic Party,8728,
British Columbia,West Vancouver--Sunshine Coast--Sea to Sky Country,West Vancouver--Sunshine Coast--Sea to Sky Country,Ian Sutherland,Ian Sutherland,Liberal Party of Canada,16069,
British Columbia,West Vancouver--Sunshine Coast--Sea to Sky Country,West Vancouver--Sunshine Coast--Sea to Sky Country,John Weston,John Weston,Conservative Party of Canada,26949,
British Columbia,West Vancouver--Sunshine Coast--Sea to Sky Country,West Vancouver--Sunshine Coast--Sea to Sky Country,Blair Wilson,Blair Wilson,Green Party of Canada,8723,
Yukon,Yukon,Yukon,Larry Bagnell,Larry Bagnell,Liberal Party of Canada,6715,
Yukon,Yukon,Yukon,Ken Bolton,Ken Bolton,New Democratic Party,1276,
Yukon,Yukon,Yukon,Darrell Pasloski,Darrell Pasloski,Conservative Party of Canada,4788,
Yukon,Yukon,Yukon,John Streicker,John Streicker,Green Party of Canada,1881,
Northwest Territories,Western Arctic,Western Arctic,Brendan Bell,Brendan Bell,Conservative Party of Canada,5146,
Northwest Territories,Western Arctic,Western Arctic,Dennis Bevington,Dennis Bevington,New Democratic Party,5669,
Northwest Territories,Western Arctic,Western Arctic,Sam Gamble,Sam Gamble,Green Party of Canada,752,
Northwest Territories,Western Arctic,Western Arctic,Gabrielle Mackenzie-Scott,Gabrielle Mackenzie-Scott,Liberal Party of Canada,1858,
Northwest Territories,Western Arctic,Western Arctic,Noeline Villebrun,Noeline Villebrun,First Peoples National Party of Canada,252,
Nunavut,Nunavut,Nunavut,Leona Aglukkaq,Leona Aglukkaq,Conservative Party of Canada,2815,
Nunavut,Nunavut,Nunavut,Kirt Kootoo Ejesiak,Kirt Kootoo Ejesiak,Liberal Party of Canada,2349,
Nunavut,Nunavut,Nunavut,Paul Irngaut,Paul Irngaut,New Democratic Party,2228,
Nunavut,Nunavut,Nunavut,Peter Ittinuar,Peter Ittinuar,Green Party of Canada,669,
