Province,Riding English,Riding French,Candidate English,Candidate French,Party,Votes,Elected
Ontario,Chatham-Kent--Essex,Chatham-Kent--Essex,Matt Daudlin,Matt Daudlin,Liberal Party of Canada,12127,
Ontario,Chatham-Kent--Essex,Chatham-Kent--Essex,Dave Van Kesteren,Dave Van Kesteren,Conservative Party of Canada,19960,
Ontario,Durham,Durham,Stephen Leahy,Stephen Leahy,Green Party of Canada,6023,
Ontario,Durham,Durham,Andrew McKeever,Andrew McKeever,New Democratic Party,5505,
Ontario,Durham,Durham,Bev Oda,Bev Oda,Conservative Party of Canada,28440,
Ontario,Durham,Durham,Bryan Ransom,Bryan Ransom,Liberal Party of Canada,12235,
Ontario,Durham,Durham,Henry Zekveld,Henry Zekveld,Christian Heritage Party of Canada,632,
Ontario,Davenport,Davenport,Peter Ferreira,Peter Ferreira,New Democratic Party,10895,
Ontario,Davenport,Davenport,Miguel Figueroa,Miguel Figueroa,Communist Party of Canada,160,
Ontario,Davenport,Davenport,Wendy Forrest,Wendy Forrest,Independent,172,
Ontario,Davenport,Davenport,Simon Luisi,Simon Luisi,Animal Alliance Environment Voters Party of Canada,92,
Ontario,Davenport,Davenport,Theresa Rodrigues,Theresa Rodrigues,Conservative Party of Canada,3838,
Ontario,Davenport,Davenport,Wayne Scott,Wayne Scott,Green Party of Canada,3653,
Ontario,Davenport,Davenport,Mario Silva,Mario Silva,Liberal Party of Canada,15945,
Ontario,Davenport,Davenport,Sarah Thompson,Sarah Thompson,Marxist-Leninist Party of Canada,96,
Ontario,Don Valley East,Don Valley-Est,Wayne Clements,Wayne Clements,Green Party of Canada,2765,
Ontario,Don Valley East,Don Valley-Est,Mary Trapani Hynes,Mary Trapani Hynes,New Democratic Party,5118,
Ontario,Don Valley East,Don Valley-Est,Alex Kovalenko,Alex Kovalenko,Christian Heritage Party of Canada,288,
Ontario,Don Valley East,Don Valley-Est,Eugene McDermott,Eugene McDermott,Conservative Party of Canada,12301,
Ontario,Don Valley East,Don Valley-Est,Yasmin Ratansi,Yasmin Ratansi,Liberal Party of Canada,18105,
Ontario,Don Valley West,Don Valley-Ouest,John Carmichael,John Carmichael,Conservative Party of Canada,19441,
Ontario,Don Valley West,Don Valley-Ouest,Catherine Holliday,Catherine Holliday,Communist Party of Canada,162,
Ontario,Don Valley West,Don Valley-Ouest,Rob Oliphant,Rob Oliphant,Liberal Party of Canada,22112,
Ontario,Don Valley West,Don Valley-Ouest,David Sparrow,David Sparrow,New Democratic Party,5102,
Ontario,Don Valley West,Don Valley-Ouest,Georgina Wilcock,Georgina Wilcock,Green Party of Canada,3155,
Ontario,Dufferin--Caledon,Dufferin--Caledon,Jason Bissett,Jason Bissett,New Democratic Party,4362,
Ontario,Dufferin--Caledon,Dufferin--Caledon,Rebecca Finch,Rebecca Finch,Liberal Party of Canada,8464,
Ontario,Dufferin--Caledon,Dufferin--Caledon,David Tilson,David Tilson,Conservative Party of Canada,23253,
Ontario,Dufferin--Caledon,Dufferin--Caledon,Ard Van Leeuwen,Ard Van Leeuwen,Green Party of Canada,7445,
Ontario,Dufferin--Caledon,Dufferin--Caledon,Dean Woods,Dean Woods,Canadian Action Party,300,
Ontario,Eglinton--Lawrence,Eglinton--Lawrence,Justin Chatwin,Justin Chatwin,New Democratic Party,3680,
Ontario,Eglinton--Lawrence,Eglinton--Lawrence,Andrew James,Andrew James,Green Party of Canada,3826,
Ontario,Eglinton--Lawrence,Eglinton--Lawrence,Joe Oliver,Joe Oliver,Conservative Party of Canada,16848,
Ontario,Eglinton--Lawrence,Eglinton--Lawrence,Joseph Volpe,Joseph Volpe,Liberal Party of Canada,19108,
Ontario,Elgin--Middlesex--London,Elgin--Middlesex--London,Will Arlow,Will Arlow,Canadian Action Party,117,
Ontario,Elgin--Middlesex--London,Elgin--Middlesex--London,Noel Burgon,Noel Burgon,Green Party of Canada,3241,
Ontario,Elgin--Middlesex--London,Elgin--Middlesex--London,Ryan Dolby,Ryan Dolby,New Democratic Party,9135,
Ontario,Elgin--Middlesex--London,Elgin--Middlesex--London,Carl Hiemstra,Carl Hiemstra,Christian Heritage Party of Canada,622,
Ontario,Elgin--Middlesex--London,Elgin--Middlesex--London,Joe Preston,Joe Preston,Conservative Party of Canada,22970,
Ontario,Elgin--Middlesex--London,Elgin--Middlesex--London,Suzanne van Bommel,Suzanne van Bommel,Liberal Party of Canada,11169,
Ontario,Elgin--Middlesex--London,Elgin--Middlesex--London,Michael van Holst,Michael van Holst,Independent,244,
Ontario,Essex,Essex,Richard Bachynsky,Richard Bachynsky,Green Party of Canada,2234,
Ontario,Essex,Essex,Taras Natyshak,Taras Natyshak,New Democratic Party,13706,
Ontario,Essex,Essex,Jeff Watson,Jeff Watson,Conservative Party of Canada,20607,
Ontario,Essex,Essex,Susan Whelan,Susan Whelan,Liberal Party of Canada,14973,
Ontario,Etobicoke Centre,Etobicoke-Centre,Axel Kuhn,Axel Kuhn,Conservative Party of Canada,18838,
Ontario,Etobicoke Centre,Etobicoke-Centre,Marion Schaffer,Marion Schaffer,Green Party of Canada,2696,
Ontario,Etobicoke Centre,Etobicoke-Centre,Joseph Schwartz,Joseph Schwartz,New Democratic Party,4158,
Ontario,Etobicoke Centre,Etobicoke-Centre,Borys Wrzesnewskyj,Borys Wrzesnewskyj,Liberal Party of Canada,24537,
Ontario,Etobicoke--Lakeshore,Etobicoke--Lakeshore,Patrick Boyer,Patrick Boyer,Conservative Party of Canada,17575,
Ontario,Etobicoke--Lakeshore,Etobicoke--Lakeshore,Dave Corail,Dave Corail,Green Party of Canada,3501,
Ontario,Etobicoke--Lakeshore,Etobicoke--Lakeshore,Michael Ignatieff,Michael Ignatieff,Liberal Party of Canada,23247,
Ontario,Etobicoke--Lakeshore,Etobicoke--Lakeshore,Liam McHugh-Russell,Liam McHugh-Russell,New Democratic Party,5873,
Ontario,Etobicoke--Lakeshore,Etobicoke--Lakeshore,Janice Murray,Janice Murray,Marxist-Leninist Party of Canada,180,
Ontario,Etobicoke North,Etobicoke-Nord,Nigel Barriffe,Nigel Barriffe,Green Party of Canada,1459,
Ontario,Etobicoke North,Etobicoke-Nord,Anna Di Carlo,Anna Di Carlo,Marxist-Leninist Party of Canada,299,
Ontario,Etobicoke North,Etobicoke-Nord,Kirsty Duncan,Kirsty Duncan,Liberal Party of Canada,15192,
Ontario,Etobicoke North,Etobicoke-Nord,Ali Naqvi,Ali Naqvi,New Democratic Party,4935,
Ontario,Etobicoke North,Etobicoke-Nord,Bob Saroya,Bob Saroya,Conservative Party of Canada,9465,
Ontario,Glengarry--Prescott--Russell,Glengarry--Prescott--Russell,Dan Boudria,Dan Boudria,Liberal Party of Canada,19997,
Ontario,Glengarry--Prescott--Russell,Glengarry--Prescott--Russell,Jean-Sébastien Caron,Jean-Sébastien Caron,New Democratic Party,5674,
Ontario,Glengarry--Prescott--Russell,Glengarry--Prescott--Russell,Pierre Lemieux,Pierre Lemieux,Conservative Party of Canada,25659,
Ontario,Glengarry--Prescott--Russell,Glengarry--Prescott--Russell,Sylvie Lemieux,Sylvie Lemieux,Green Party of Canada,2908,
Ontario,Bruce--Grey--Owen Sound,Bruce--Grey--Owen Sound,Dick Hibma,Dick Hibma,Green Party of Canada,13095,
Ontario,Bruce--Grey--Owen Sound,Bruce--Grey--Owen Sound,Joel Kidd,Joel Kidd,Christian Heritage Party of Canada,629,
Ontario,Bruce--Grey--Owen Sound,Bruce--Grey--Owen Sound,Jill McIllwraith,Jill McIllwraith,New Democratic Party,4640,
Ontario,Bruce--Grey--Owen Sound,Bruce--Grey--Owen Sound,Larry Miller,Larry Miller,Conservative Party of Canada,22974,
Ontario,Bruce--Grey--Owen Sound,Bruce--Grey--Owen Sound,Thom Noble,Thom Noble,Liberal Party of Canada,6892,
Ontario,Guelph,Guelph,Philip Bender,Philip Bender,Libertarian Party of Canada,159,
Ontario,Guelph,Guelph,Manuel Couto,Manuel Couto,Marxist-Leninist Party of Canada,29,
Ontario,Guelph,Guelph,Drew Garvie,Drew Garvie,Communist Party of Canada,77,
Ontario,Guelph,Guelph,Tom King,Tom King,New Democratic Party,9709,
Ontario,Guelph,Guelph,Kornelis Klevering,Kornelis Klevering,Marijuana Party,172,
Ontario,Guelph,Guelph,Gloria Kovach,Gloria Kovach,Conservative Party of Canada,17185,
Ontario,Guelph,Guelph,Karen Levenson,Karen Levenson,Animal Alliance Environment Voters Party of Canada,73,
Ontario,Guelph,Guelph,Mike Nagy,Mike Nagy,Green Party of Canada,12456,
Ontario,Guelph,Guelph,John Turmel,John Turmel,Independent,58,
Ontario,Guelph,Guelph,Frank Valeriote,Frank Valeriote,Liberal Party of Canada,18977,
Ontario,Haldimand--Norfolk,Haldimand--Norfolk,Steven Elgersma,Steven Elgersma,Christian Heritage Party of Canada,501,
Ontario,Haldimand--Norfolk,Haldimand--Norfolk,Diane Finley,Diane Finley,Conservative Party of Canada,19657,
Ontario,Haldimand--Norfolk,Haldimand--Norfolk,Eric Hoskins,Eric Hoskins,Liberal Party of Canada,15577,
Ontario,Haldimand--Norfolk,Haldimand--Norfolk,Stephana Johnston,Stephana Johnston,Green Party of Canada,2041,
Ontario,Haldimand--Norfolk,Haldimand--Norfolk,Gary McHale,Gary McHale,Independent,4821,
Ontario,Haldimand--Norfolk,Haldimand--Norfolk,Ian Nichols,Ian Nichols,New Democratic Party,5549,
Ontario,Haliburton--Kawartha Lakes--Brock,Haliburton--Kawartha Lakes--Brock,Michael Bell,Michael Bell,Green Party of Canada,4502,
Ontario,Haliburton--Kawartha Lakes--Brock,Haliburton--Kawartha Lakes--Brock,Barry Devolin,Barry Devolin,Conservative Party of Canada,30444,
Ontario,Haliburton--Kawartha Lakes--Brock,Haliburton--Kawartha Lakes--Brock,Dave Switzer,Dave Switzer,Christian Heritage Party of Canada,390,
Ontario,Haliburton--Kawartha Lakes--Brock,Haliburton--Kawartha Lakes--Brock,Marlene White,Marlene White,Liberal Party of Canada,11095,
Ontario,Haliburton--Kawartha Lakes--Brock,Haliburton--Kawartha Lakes--Brock,Stephen Yardy,Stephen Yardy,New Democratic Party,7962,
Ontario,Halton,Halton,Amy Collard,Amy Collard,Green Party of Canada,4872,
Ontario,Halton,Halton,Lisa Raitt,Lisa Raitt,Conservative Party of Canada,32916,
Ontario,Halton,Halton,Tony Rodrigues,Tony Rodrigues,Christian Heritage Party of Canada,337,
Ontario,Halton,Halton,Garth Turner,Garth Turner,Liberal Party of Canada,25136,
Ontario,Halton,Halton,Rob Wagner,Rob Wagner,New Democratic Party,6118,
Ontario,Hamilton Centre,Hamilton-Centre,David Christopherson,David Christopherson,New Democratic Party,19945,
Ontario,Hamilton Centre,Hamilton-Centre,Anthony Giles,Anthony Giles,Libertarian Party of Canada,529,
Ontario,Hamilton Centre,Hamilton-Centre,John Livingstone,John Livingstone,Green Party of Canada,3625,
Ontario,Hamilton Centre,Hamilton-Centre,Lisa Nussey,Lisa Nussey,Marxist-Leninist Party of Canada,126,
Ontario,Hamilton Centre,Hamilton-Centre,Leon O'Connor,Leon O'Connor,Conservative Party of Canada,9055,
Ontario,Hamilton Centre,Hamilton-Centre,Ryan Sparrow,Ryan Sparrow,Communist Party of Canada,125,
Ontario,Hamilton Centre,Hamilton-Centre,Helen M. Wilson,Helen M. Wilson,Liberal Party of Canada,7074,
Ontario,Hamilton East--Stoney Creek,Hamilton-Est--Stoney Creek,Sam Cino,Sam Cino,Independent,323,
Ontario,Hamilton East--Stoney Creek,Hamilton-Est--Stoney Creek,Larry Di Ianni,Larry Di Ianni,Liberal Party of Canada,13445,
Ontario,Hamilton East--Stoney Creek,Hamilton-Est--Stoney Creek,David William Hart Dyke,David William Hart Dyke,Green Party of Canada,2142,
Ontario,Hamilton East--Stoney Creek,Hamilton-Est--Stoney Creek,Gord Hill,Gord Hill,Progressive Canadian Party,853,
Ontario,Hamilton East--Stoney Creek,Hamilton-Est--Stoney Creek,Wayne Marston,Wayne Marston,New Democratic Party,19924,
Ontario,Hamilton East--Stoney Creek,Hamilton-Est--Stoney Creek,Frank Rukavina,Frank Rukavina,Conservative Party of Canada,11456,
Ontario,Hamilton Mountain,Hamilton Mountain,Terry Anderson,Terry Anderson,Conservative Party of Canada,16011,
Ontario,Hamilton Mountain,Hamilton Mountain,Tyler Banham,Tyler Banham,Liberal Party of Canada,10531,
Ontario,Hamilton Mountain,Hamilton Mountain,Stephen Brotherston,Stephen Brotherston,Green Party of Canada,2884,
Ontario,Hamilton Mountain,Hamilton Mountain,Chris Charlton,Chris Charlton,New Democratic Party,22799,
Ontario,Huron--Bruce,Huron--Bruce,Dave Joslin,Dave Joslin,Christian Heritage Party of Canada,747,
Ontario,Huron--Bruce,Huron--Bruce,Ben Lobb,Ben Lobb,Conservative Party of Canada,22202,
Ontario,Huron--Bruce,Huron--Bruce,Greg McClinchey,Greg McClinchey,Liberal Party of Canada,16346,
Ontario,Huron--Bruce,Huron--Bruce,Tony McQuail,Tony McQuail,New Democratic Party,7426,
Ontario,Huron--Bruce,Huron--Bruce,Glen Smith,Glen Smith,Green Party of Canada,2617,
Ontario,Huron--Bruce,Huron--Bruce,Dennis Valenta,Dennis Valenta,Independent,242,
Ontario,Kenora,Kenora,Tania Cameron,Tania Cameron,New Democratic Party,5375,
Ontario,Kenora,Kenora,JoJo Holiday,JoJo Holiday,Green Party of Canada,1078,
Ontario,Kenora,Kenora,Greg Rickford,Greg Rickford,Conservative Party of Canada,9335,
Ontario,Kenora,Kenora,Roger Valley,Roger Valley,Liberal Party of Canada,7368,
Ontario,Kingston and the Islands,Kingston et les Îles,Brian Abrams,Brian Abrams,Conservative Party of Canada,18887,
Ontario,Kingston and the Islands,Kingston et les Îles,Rick Downes,Rick Downes,New Democratic Party,10151,
Ontario,Kingston and the Islands,Kingston et les Îles,Peter Milliken,Peter Milliken,Liberal Party of Canada,22732,
Ontario,Kingston and the Islands,Kingston et les Îles,Eric Walton,Eric Walton,Green Party of Canada,6382,
Ontario,Kitchener Centre,Kitchener-Centre,John Bithell,John Bithell,Green Party of Canada,3818,
Ontario,Kitchener Centre,Kitchener-Centre,Oz Cole-Arnal,Oz Cole-Arnal,New Democratic Party,8122,
Ontario,Kitchener Centre,Kitchener-Centre,Amanda Lamka,Amanda Lamka,Independent,215,
Ontario,Kitchener Centre,Kitchener-Centre,Karen Redman,Karen Redman,Liberal Party of Canada,16141,
Ontario,Kitchener Centre,Kitchener-Centre,Martin Suter,Martin Suter,Communist Party of Canada,127,
Ontario,Kitchener Centre,Kitchener-Centre,Stephen Woodworth,Stephen Woodworth,Conservative Party of Canada,16480,
Ontario,Kitchener--Conestoga,Kitchener--Conestoga,Harold Albrecht,Harold Albrecht,Conservative Party of Canada,23275,
Ontario,Kitchener--Conestoga,Kitchener--Conestoga,Orlando Da Silva,Orlando Da Silva,Liberal Party of Canada,11761,
Ontario,Kitchener--Conestoga,Kitchener--Conestoga,Jamie Kropf,Jamie Kropf,Green Party of Canada,5119,
Ontario,Kitchener--Conestoga,Kitchener--Conestoga,Rod McNeil,Rod McNeil,New Democratic Party,7132,
Ontario,Kitchener--Waterloo,Kitchener--Waterloo,Peter Braid,Peter Braid,Conservative Party of Canada,21871,
Ontario,Kitchener--Waterloo,Kitchener--Waterloo,Mark Corbiere,Mark Corbiere,Independent,108,
Ontario,Kitchener--Waterloo,Kitchener--Waterloo,Jason Cousineau,Jason Cousineau,Libertarian Party of Canada,337,
Ontario,Kitchener--Waterloo,Kitchener--Waterloo,Kyle James Huntingdon,Kyle James Huntingdon,Canadian Action Party,107,
Ontario,Kitchener--Waterloo,Kitchener--Waterloo,Cindy Jacobsen,Cindy Jacobsen,New Democratic Party,8920,
Ontario,Kitchener--Waterloo,Kitchener--Waterloo,Cathy MacLellan,Cathy MacLellan,Green Party of Canada,7329,
Ontario,Kitchener--Waterloo,Kitchener--Waterloo,Ramon Portillo,Ramon Portillo,Communist Party of Canada,108,
Ontario,Kitchener--Waterloo,Kitchener--Waterloo,Andrew Telegdi,Andrew Telegdi,Liberal Party of Canada,21798,
Ontario,Lanark--Frontenac--Lennox and Addington,Lanark--Frontenac--Lennox and Addington,Ernest Oliver Rathwell,Ernest Oliver Rathwell,Marijuana Party,363,
Ontario,Lanark--Frontenac--Lennox and Addington,Lanark--Frontenac--Lennox and Addington,Scott Reid,Scott Reid,Conservative Party of Canada,30280,
Ontario,Lanark--Frontenac--Lennox and Addington,Lanark--Frontenac--Lennox and Addington,David Remington,David Remington,Liberal Party of Canada,11827,
Ontario,Lanark--Frontenac--Lennox and Addington,Lanark--Frontenac--Lennox and Addington,Chris Walker,Chris Walker,Green Party of Canada,4643,
Ontario,Lanark--Frontenac--Lennox and Addington,Lanark--Frontenac--Lennox and Addington,Sandra Willard,Sandra Willard,New Democratic Party,7140,
Ontario,Leeds--Grenville,Leeds--Grenville,Steve Armstrong,Steve Armstrong,New Democratic Party,6511,
Ontario,Leeds--Grenville,Leeds--Grenville,Gord Brown,Gord Brown,Conservative Party of Canada,27461,
Ontario,Leeds--Grenville,Leeds--Grenville,Marjory Loveys,Marjory Loveys,Liberal Party of Canada,8075,
Ontario,Leeds--Grenville,Leeds--Grenville,John McCrea,John McCrea,Progressive Canadian Party,431,
Ontario,Leeds--Grenville,Leeds--Grenville,Jeanie Warnock,Jeanie Warnock,Green Party of Canada,4622,
Ontario,London--Fanshawe,London--Fanshawe,Mary Lou Ambrogio,Mary Lou Ambrogio,Conservative Party of Canada,12756,
Ontario,London--Fanshawe,London--Fanshawe,Jacquie Gauthier,Jacquie Gauthier,Liberal Party of Canada,7751,
Ontario,London--Fanshawe,London--Fanshawe,Irene Mathyssen,Irene Mathyssen,New Democratic Party,17594,
Ontario,London--Fanshawe,London--Fanshawe,Daniel O'Neail,Daniel O'Neail,Green Party of Canada,2661,
Ontario,London--Fanshawe,London--Fanshawe,Leonard Vanderhoeven,Leonard Vanderhoeven,Christian Heritage Party of Canada,282,
Ontario,London North Centre,London-Centre-Nord,Mary Ann Hodge,Mary Ann Hodge,Green Party of Canada,5612,
Ontario,London North Centre,London-Centre-Nord,Steve Holmes,Steve Holmes,New Democratic Party,9376,
Ontario,London North Centre,London-Centre-Nord,Glen Pearson,Glen Pearson,Liberal Party of Canada,20964,
Ontario,London North Centre,London-Centre-Nord,Paul Van Meerbergen,Paul Van Meerbergen,Conservative Party of Canada,17716,
Ontario,London West,London-Ouest,Sue Barnes,Sue Barnes,Liberal Party of Canada,20435,
Ontario,London West,London-Ouest,Leslie Bartley,Leslie Bartley,Christian Heritage Party of Canada,253,
Ontario,London West,London-Ouest,Peter Lawrence Ferguson,Peter Lawrence Ferguson,New Democratic Party,8409,
Ontario,London West,London-Ouest,Ed Holder,Ed Holder,Conservative Party of Canada,22556,
Ontario,London West,London-Ouest,Steve Hunter,Steve Hunter,Progressive Canadian Party,443,
Ontario,London West,London-Ouest,Monica Jarabek,Monica Jarabek,Green Party of Canada,5601,
Ontario,Markham--Unionville,Markham--Unionville,Leonard Aitken,Leonard Aitken,Green Party of Canada,1931,
Ontario,Markham--Unionville,Markham--Unionville,Duncan Fletcher,Duncan Fletcher,Conservative Party of Canada,13855,
Ontario,Markham--Unionville,Markham--Unionville,Nadine Hawkins,Nadine Hawkins,New Democratic Party,4682,
Ontario,Markham--Unionville,Markham--Unionville,John McCallum,John McCallum,Liberal Party of Canada,25195,
Ontario,Markham--Unionville,Markham--Unionville,Allen Small,Allen Small,Libertarian Party of Canada,229,
Ontario,Lambton--Kent--Middlesex,Lambton--Kent--Middlesex,Joe Hill,Joe Hill,New Democratic Party,7427,
Ontario,Lambton--Kent--Middlesex,Lambton--Kent--Middlesex,Micheal Janssens,Micheal Janssens,Christian Heritage Party of Canada,683,
Ontario,Lambton--Kent--Middlesex,Lambton--Kent--Middlesex,Jim Johnston,Jim Johnston,Green Party of Canada,3366,
Ontario,Lambton--Kent--Middlesex,Lambton--Kent--Middlesex,Bev Shipley,Bev Shipley,Conservative Party of Canada,24516,
Ontario,Lambton--Kent--Middlesex,Lambton--Kent--Middlesex,Jeff Wesley,Jeff Wesley,Liberal Party of Canada,11812,
Ontario,Mississauga--Brampton South,Mississauga--Brampton-Sud,Salma Ataullahjan,Salma Ataullahjan,Conservative Party of Canada,14757,
Ontario,Mississauga--Brampton South,Mississauga--Brampton-Sud,Navdeep Bains,Navdeep Bains,Liberal Party of Canada,21220,
Ontario,Mississauga--Brampton South,Mississauga--Brampton-Sud,Karan Pandher,Karan Pandher,New Democratic Party,5358,
Ontario,Mississauga--Brampton South,Mississauga--Brampton-Sud,Tim Sullivan,Tim Sullivan,Marxist-Leninist Party of Canada,395,
Ontario,Mississauga--Brampton South,Mississauga--Brampton-Sud,Grace Yogaretnam,Grace Yogaretnam,Green Party of Canada,2947,
Ontario,Mississauga East--Cooksville,Mississauga-Est--Cooksville,Satish Balasunderam,Satish Balasunderam,New Democratic Party,4614,
Ontario,Mississauga East--Cooksville,Mississauga-Est--Cooksville,Melissa Bhagat,Melissa Bhagat,Conservative Party of Canada,13215,
Ontario,Mississauga East--Cooksville,Mississauga-Est--Cooksville,Jaymini Bhikha,Jaymini Bhikha,Green Party of Canada,2126,
Ontario,Mississauga East--Cooksville,Mississauga-Est--Cooksville,Pierre Chénier,Pierre Chénier,Marxist-Leninist Party of Canada,285,
Ontario,Mississauga East--Cooksville,Mississauga-Est--Cooksville,Albina Guarnieri,Albina Guarnieri,Liberal Party of Canada,20371,
Ontario,Mississauga--Erindale,Mississauga--Erindale,Omar Alghabra,Omar Alghabra,Liberal Party of Canada,23556,
Ontario,Mississauga--Erindale,Mississauga--Erindale,Bob Dechert,Bob Dechert,Conservative Party of Canada,23795,
Ontario,Mississauga--Erindale,Mississauga--Erindale,Richard Pietro,Richard Pietro,Green Party of Canada,3636,
Ontario,Mississauga--Erindale,Mississauga--Erindale,Mustafa Rizvi,Mustafa Rizvi,New Democratic Party,4767,
Ontario,Mississauga--Erindale,Mississauga--Erindale,Dagmar Sullivan,Dagmar Sullivan,Marxist-Leninist Party of Canada,128,
Ontario,Mississauga South,Mississauga-Sud,Hugh Arrison,Hugh Arrison,Conservative Party of Canada,18467,
Ontario,Mississauga South,Mississauga-Sud,Richard Laushway,Richard Laushway,Green Party of Canada,3427,
Ontario,Mississauga South,Mississauga-Sud,Paul Szabo,Paul Szabo,Liberal Party of Canada,20475,
Ontario,Mississauga South,Mississauga-Sud,Matt Turner,Matt Turner,New Democratic Party,4102,
Ontario,Mississauga--Streetsville,Mississauga--Streetsville,Ralph Bunag,Ralph Bunag,Independent,511,
Ontario,Mississauga--Streetsville,Mississauga--Streetsville,Otto Casanova,Otto Casanova,Green Party of Canada,3177,
Ontario,Mississauga--Streetsville,Mississauga--Streetsville,Bonnie Crombie,Bonnie Crombie,Liberal Party of Canada,21579,
Ontario,Mississauga--Streetsville,Mississauga--Streetsville,Wajid Khan,Wajid Khan,Conservative Party of Canada,16946,
Ontario,Mississauga--Streetsville,Mississauga--Streetsville,Keith Pinto,Keith Pinto,New Democratic Party,4711,
Ontario,Mississauga--Streetsville,Mississauga--Streetsville,Viktor Spanovic,Viktor Spanovic,Independent,430,
Ontario,Nepean--Carleton,Nepean--Carleton,Phil Brown,Phil Brown,New Democratic Party,6946,
Ontario,Nepean--Carleton,Nepean--Carleton,Lori Gadzala,Lori Gadzala,Green Party of Canada,7880,
Ontario,Nepean--Carleton,Nepean--Carleton,Ed Mahfouz,Ed Mahfouz,Liberal Party of Canada,16743,
Ontario,Nepean--Carleton,Nepean--Carleton,Pierre Poilievre,Pierre Poilievre,Conservative Party of Canada,39915,
Ontario,Newmarket--Aurora,Newmarket--Aurora,Dorian Baxter,Dorian Baxter,Progressive Canadian Party,1004,
Ontario,Newmarket--Aurora,Newmarket--Aurora,Lois Brown,Lois Brown,Conservative Party of Canada,24873,
Ontario,Newmarket--Aurora,Newmarket--Aurora,Glenn Hubbers,Glenn Hubbers,Green Party of Canada,4381,
Ontario,Newmarket--Aurora,Newmarket--Aurora,Tim Jones,Tim Jones,Liberal Party of Canada,18250,
Ontario,Newmarket--Aurora,Newmarket--Aurora,Ray Luff,Ray Luff,Christian Heritage Party of Canada,211,
Ontario,Newmarket--Aurora,Newmarket--Aurora,Mike Seaward,Mike Seaward,New Democratic Party,4508,
Ontario,Niagara Falls,Niagara Falls,Eric Gillespie,Eric Gillespie,New Democratic Party,9186,
Ontario,Niagara Falls,Niagara Falls,Joyce Morocco,Joyce Morocco,Liberal Party of Canada,13870,
Ontario,Niagara Falls,Niagara Falls,Rob Nicholson,Rob Nicholson,Conservative Party of Canada,24010,
Ontario,Niagara Falls,Niagara Falls,Shawn Willick,Shawn Willick,Green Party of Canada,4353,
Ontario,Niagara West--Glanbrook,Niagara-Ouest--Glanbrook,Dean Allison,Dean Allison,Conservative Party of Canada,28090,
Ontario,Niagara West--Glanbrook,Niagara-Ouest--Glanbrook,Dave Bylsma,Dave Bylsma,Christian Heritage Party of Canada,1118,
Ontario,Niagara West--Glanbrook,Niagara-Ouest--Glanbrook,Heather Carter,Heather Carter,Liberal Party of Canada,12955,
Ontario,Niagara West--Glanbrook,Niagara-Ouest--Glanbrook,Sid Frere,Sid Frere,Green Party of Canada,3897,
Ontario,Niagara West--Glanbrook,Niagara-Ouest--Glanbrook,Dave Heatley,Dave Heatley,New Democratic Party,7983,
Ontario,Nickel Belt,Nickel Belt,Claude Gravelle,Claude Gravelle,New Democratic Party,19019,
Ontario,Nickel Belt,Nickel Belt,Ian McCracken,Ian McCracken,Conservative Party of Canada,8851,
Ontario,Nickel Belt,Nickel Belt,Louise Portelance,Louise Portelance,Liberal Party of Canada,10713,
Ontario,Nickel Belt,Nickel Belt,Steve Rutchinski,Steve Rutchinski,Marxist-Leninist Party of Canada,125,
Ontario,Nickel Belt,Nickel Belt,Fred Twilley,Fred Twilley,Green Party of Canada,2050,
Ontario,Nickel Belt,Nickel Belt,Yves Villeneuve,Yves Villeneuve,Independent,115,
Ontario,Nipissing--Timiskaming,Nipissing--Timiskaming,Dianna Allen,Dianna Allen,New Democratic Party,6598,
Ontario,Nipissing--Timiskaming,Nipissing--Timiskaming,Craig Bridges,Craig Bridges,Green Party of Canada,2807,
Ontario,Nipissing--Timiskaming,Nipissing--Timiskaming,Andrew Moulden,Andrew Moulden,Canadian Action Party,201,
Ontario,Nipissing--Timiskaming,Nipissing--Timiskaming,Anthony Rota,Anthony Rota,Liberal Party of Canada,18543,
Ontario,Nipissing--Timiskaming,Nipissing--Timiskaming,Joe Sinicrope,Joe Sinicrope,Conservative Party of Canada,13463,
Ontario,Northumberland--Quinte West,Northumberland--Quinte West,Russ Christianson,Russ Christianson,New Democratic Party,8219,
Ontario,Northumberland--Quinte West,Northumberland--Quinte West,Paul Macklin,Paul Macklin,Liberal Party of Canada,16262,
Ontario,Northumberland--Quinte West,Northumberland--Quinte West,Rick Norlock,Rick Norlock,Conservative Party of Canada,27621,
Ontario,Northumberland--Quinte West,Northumberland--Quinte West,Ralph Torrie,Ralph Torrie,Green Party of Canada,4953,
Ontario,Oak Ridges--Markham,Oak Ridges--Markham,Andy Arifin,Andy Arifin,New Democratic Party,7120,
Ontario,Oak Ridges--Markham,Oak Ridges--Markham,Paul Calandra,Paul Calandra,Conservative Party of Canada,31963,
Ontario,Oak Ridges--Markham,Oak Ridges--Markham,Richard Taylor,Richard Taylor,Green Party of Canada,5295,
Ontario,Oak Ridges--Markham,Oak Ridges--Markham,Lui Temelkovski,Lui Temelkovski,Liberal Party of Canada,31533,
Ontario,Oakville,Oakville,Michelle Bilek,Michelle Bilek,New Democratic Party,4143,
Ontario,Oakville,Oakville,M.A. Bonnie Brown,M.A. Bonnie Brown,Liberal Party of Canada,20428,
